GEOID,State,County,Population,EJ indexes above 80th percentile,DEMOGIDX_2,PEOPCOLORPCT,LOWINCPCT,UNEMPPCT,DISABILITYPCT,LINGISOPCT,LESSHSPCT,UNDER5PCT,OVER64PCT,LIFEEXPPCT,PM25,OZONE,DSLPM,RSEI_AIR,PTRAF,PRE1960PCT,PNPL,PRMP,PTSDF,UST,PWDIS,NO2,DWATER,P_DEMOGIDX_2,P_PM25,P_OZONE,P_DSLPM,P_PTRAF,P_NO2,P_LIFEEXPPCT
06001405402,California,Alameda County,3673,7,2.3198,0.7969,0.3673,0.0425,0.1258,0.1769,0.224,0.0487,0.1397,0.2205,11.094,47.53,0.394,436.16,7510585.707,0.491,0.53,0.23,13.761,0,0,13.34,0,81,90,0,91,96,93,74
06001405500,California,Alameda County,3537,7,2.0777,0.7863,0.2846,0.0553,0.1088,0.1068,0.13,0.0237,0.1654,0.1928,11.133,47.643,0.381,449.468,7261048.851,0.6722,0.496,0.23,13.982,0,0,12.747,0,75,91,0,90,96,91,49
06001405600,California,Alameda County,3044,7,1.9389,0.6909,0.2918,0.0434,0.1488,0.0525,0.1104,0.0411,0.0785,0.1979,11.155,47.828,0.378,452.251,8071004.067,0.6689,0.441,0.229,13.839,0,0,12.288,0,72,91,0,90,97,89,54
06001405700,California,Alameda County,3522,7,2.4594,0.8495,0.3866,0.0524,0.0572,0.0578,0.1788,0.0239,0.0863,0.2164,11.193,48.123,0.375,435.439,8654583.723,0.7564,0.382,0.227,13.411,0,0,10.89,0,84,91,1,90,97,81,71
06001405800,California,Alameda County,4182,7,2.4832,0.8819,0.3755,0.0673,0.1093,0.1796,0.3194,0.054,0.0956,0.2144,11.169,48.006,0.364,429.191,6984113.054,0.6047,0.409,0.229,13.106,0,0,11.847,0,84,91,0,89,95,87,69
06001405901,California,Alameda County,3757,8,2.8342,0.9497,0.4634,0.1011,0.1052,0.1965,0.2492,0.0256,0.0942,0.201,11.143,47.891,0.299,416.383,7221616.08,0.557,0.427,0.231,13.304,0,0,12.626,0,90,91,0,83,96,90,57
06001405902,California,Alameda County,3138,7,2.6015,0.876,0.4227,0.1011,0.1259,0.1809,0.2882,0.0873,0.0972,0.2031,11.121,47.695,0.363,430.121,7722883.042,0.7291,0.475,0.229,13.354,0,0,13.296,0,86,91,0,89,96,92,59
06001406000,California,Alameda County,4735,7,2.2557,0.8247,0.3267,0.0487,0.1333,0.1828,0.2808,0.0361,0.1614,0.201,11.072,47.418,0.398,432.488,8743910.726,0.5803,0.625,0.23,14.685,0,0,12.678,0,79,90,0,91,97,90,57
06001406100,California,Alameda County,4939,7,2.2378,0.8184,0.324,0.0769,0.0745,0.1122,0.213,0.0638,0.1363,0.2185,11.156,48.213,0.288,384.948,8723056.595,0.318,0.356,0.187,14.669,0,0,13.226,0,79,91,1,82,97,92,73
06001406201,California,Alameda County,5072,9,3.0488,0.944,0.546,0.0624,0.1007,0.1749,0.3189,0.0522,0.0858,0.2277,11.156,48.084,0.29,405.567,6838182.061,0.6079,0.385,0.234,13.076,0,0,12.251,0,93,91,1,82,95,89,80
06001406202,California,Alameda County,4733,7,2.7856,0.9332,0.4556,0.0456,0.1481,0.2074,0.4143,0.0651,0.1439,0.2062,11.159,48.277,0.289,395.831,6648580.112,0.4281,0.357,0.142,13.462,0,0,12.535,0,89,91,1,82,95,90,62
06001406300,California,Alameda County,4556,7,2.6412,0.8942,0.4262,0.0363,0.0918,0.1276,0.3192,0.0685,0.1319,0.1559,11.179,48.37,0.29,409.977,6457308.284,0.6169,0.356,0.231,13.09,0,0,11.015,0,87,91,1,82,95,82,15
06001406400,California,Alameda County,2598,7,2.2997,0.7656,0.3791,0.0166,0.2039,0.0413,0.2127,0.0574,0.3303,0.2564,11.212,48.414,0.3,421.807,7286161.931,0.7339,0.338,0.226,13.721,0,0,10.659,0,80,91,1,83,96,79,93
06001406500,California,Alameda County,6494,7,2.3458,0.8804,0.3258,0.0817,0.0898,0.0984,0.271,0.0437,0.1447,0.1682,11.211,48.656,0.282,398.388,6438263.155,0.6409,0.315,0.168,13.041,0,0,11.203,0,81,91,1,81,95,83,24
06001406601,California,Alameda County,4531,7,1.978,0.7718,0.2567,0.1356,0.1582,0.1318,0.1134,0.0426,0.1609,0.201,11.25,49.065,0.277,399.717,8280327.615,0.7023,0.283,0.129,12.312,0,0,10.442,0,73,91,1,80,97,78,57
06001406602,California,Alameda County,2540,7,2.4795,0.8646,0.3848,0.1211,0.0933,0.1081,0.232,0.0618,0.1465,0.1754,11.245,48.77,0.263,412.64,8755575.119,0.6993,0.306,0.223,14.432,0,0,10.321,0,84,91,1,78,97,77,31
06001406700,California,Alameda County,5380,0,1.1114,0.5418,0.078,0.0331,0.1261,0.0245,0.1022,0.097,0.1757,0.1456,11.296,49.325,0.249,423.369,6214129.185,0.813,0.266,0.202,11.814,0,9.848,8.767,0,40,91,1,76,94,63,9
06001406800,California,Alameda County,3971,2,1.4852,0.7162,0.1091,0.1134,0.0933,0.0383,0.0945,0.041,0.1833,0.1826,11.295,49.63,0.274,404.976,6199070.58,0.7268,0.244,0.124,10.847,0,3.879,9.172,0,57,91,1,80,94,67,39
06001406900,California,Alameda County,3865,0,1.4547,0.6034,0.1669,0.0707,0.0724,0.0741,0.0478,0.0458,0.1793,0.1979,11.312,49.853,0.276,396.375,6324491.543,0.6225,0.234,0.133,10.642,0,0,9.495,0,56,91,1,80,94,70,54
06001407000,California,Alameda County,6202,7,2.2316,0.817,0.3225,0.036,0.0869,0.1098,0.2138,0.1032,0.1627,0.2092,11.274,49.319,0.278,385.079,7584788.715,0.7898,0.265,0.142,11.515,0,0,11.167,0,79,91,1,80,96,83,65
06001407101,California,Alameda County,4053,7,2.8641,0.8838,0.5148,0.1336,0.0818,0.2136,0.2734,0.0757,0.1105,0.1774,11.218,48.815,0.279,387.986,6122659.911,0.7339,0.302,0.147,13.591,0,0,11.254,0,90,91,1,81,94,83,33
06001407102,California,Alameda County,4268,7,2.5738,0.925,0.3825,0.0406,0.0595,0.1565,0.2936,0.075,0.093,0.1631,11.229,48.974,0.278,377.185,6051169.225,0.7964,0.284,0.155,13.799,0,0,10.825,0,86,91,1,80,94,81,20
06001407200,California,Alameda County,6544,7,2.6955,0.8594,0.4676,0.0639,0.0799,0.1091,0.3429,0.0544,0.0886,0.1949,11.198,48.591,0.287,380.843,6487093.496,0.6472,0.316,0.158,17.664,0,0,12.365,0,88,91,1,82,95,89,51
06001407300,California,Alameda County,2459,7,2.8465,0.891,0.5039,0.1344,0.1078,0.0909,0.3664,0.0415,0.0773,0.2421,11.21,48.938,0.276,367.275,6049876.796,0.7366,0.268,0.203,16.519,0,0,11.92,0,90,91,1,80,94,87,87
06001407400,California,Alameda County,4242,7,2.6545,0.9404,0.4029,0.0751,0.1518,0.0786,0.2071,0.0483,0.1391,0.1969,11.241,49.101,0.277,365.839,5835225.364,0.7185,0.263,0.189,15.118,0,0,11.042,0,87,91,1,80,93,82,53
06001407500,California,Alameda County,3988,7,2.8807,0.9298,0.4927,0.1391,0.1248,0.0906,0.2624,0.1046,0.0933,0.2646,11.255,49.542,0.276,367.468,5195107.672,0.5906,0.237,0.201,11.565,0,0,10.759,0,91,91,1,80,92,80,95
06001407600,California,Alameda County,6459,7,1.8959,0.7466,0.2419,0.0322,0.1295,0.0822,0.155,0.0708,0.1028,0.239,11.252,49.239,0.277,369.634,5702697.287,0.7293,0.259,0.17,12.409,0,0,10.664,0,70,91,1,80,93,79,86
06001407700,California,Alameda County,4238,0,1.1919,0.5526,0.1011,0.073,0.114,0.0243,0.0695,0.0753,0.1479,0.199,11.29,49.675,0.276,370.067,5450509.132,0.9318,0.232,0.175,10.118,0,0,10.252,0,44,91,1,80,92,76,55
06001407800,California,Alameda County,2769,4,1.6696,0.6428,0.222,0.0539,0.095,0.0685,0.1252,0.0462,0.1123,0.1559,11.313,50.009,0.276,376.937,7339349.604,0.794,0.23,0.156,10.05,0,0,10.168,0,64,91,1,80,96,76,15
06001407900,California,Alameda County,3088,0,1.1784,0.5045,0.1255,0.0173,0.0655,0.0393,0.0293,0.0408,0.1512,0.1456,11.32,50.11,0.276,389.541,7115642.336,0.752,0.221,0.142,9.344,0,0,9.554,0,43,91,1,80,96,71,9
06001408000,California,Alameda County,2860,0,0.7763,0.393,0.0456,0.082,0.176,0.0112,0.0151,0.0552,0.242,0.1846,11.341,50.274,0.247,416.286,4996292.047,0.375,0.211,0.115,10.984,0,9.798,6.775,0,21,91,2,75,91,43,41
06001408100,California,Alameda County,7313,0,1.2768,0.6266,0.0871,0.0682,0.0744,0.0322,0.0463,0.0578,0.1851,0.1549,11.384,51.632,0.171,376.962,4635558.484,0.2132,0.079,0.14,6.648,0,1.944,6.49,0,48,91,5,55,90,40,14
06001408200,California,Alameda County,4471,5,1.9572,0.8318,0.2123,0.0332,0.0675,0.0328,0.1057,0.0624,0.1648,0.2123,11.336,50.558,0.275,373.213,5471968.767,0.6398,0.105,0.176,8.734,0,0,9.325,0,72,91,2,80,92,69,68
06001408300,California,Alameda County,4791,4,1.819,0.7817,0.192,0.0659,0.1227,0.0582,0.1103,0.0802,0.1309,0.201,11.355,51.122,0.227,371.582,5512607.428,0.8133,0.037,0.18,7.601,0,0,8.804,0,68,91,3,71,93,63,57
06001408400,California,Alameda County,4077,7,2.619,0.9556,0.3805,0.0543,0.2202,0.1001,0.3347,0.0635,0.1241,0.2277,11.335,50.798,0.263,371.211,4273584.097,0.6901,0.062,0.209,9.264,0,0,10.532,0,86,91,2,78,89,79,80
06001408500,California,Alameda County,5634,7,2.5562,0.9736,0.3463,0.0695,0.1013,0.1368,0.3032,0.0731,0.0907,0.2533,11.306,50.417,0.263,385.235,4215534.208,0.7043,0.104,0.246,10.748,0,0,10.906,0,85,91,2,78,89,81,92
06001408600,California,Alameda County,6519,7,2.4597,0.9389,0.3319,0.0447,0.0891,0.0607,0.223,0.058,0.0997,0.2133,11.305,50.245,0.269,377.404,4627651.083,0.636,0.11,0.223,11.504,0,0,10.808,0,84,91,2,79,90,80,68
06001408700,California,Alameda County,7456,7,2.8922,0.9097,0.5093,0.0697,0.0886,0.0556,0.1427,0.057,0.1094,0.2164,11.295,49.863,0.276,371.691,4936648.288,0.7712,0.203,0.208,10.755,0,0,11.004,0,91,91,1,80,91,82,71
06001408800,California,Alameda County,7968,9,3.2411,0.9588,0.6078,0.071,0.1067,0.117,0.3341,0.103,0.074,0.241,11.251,49.54,0.266,442.786,4711192.567,0.2587,0.201,0.263,14.005,0,0,12.076,0,95,91,1,79,90,88,87
06001408900,California,Alameda County,3956,9,3.0254,0.9568,0.5295,0.1424,0.11,0.0644,0.3623,0.0629,0.1011,0.239,11.273,49.877,0.263,593.677,4377414.815,0.3855,0.109,0.293,13.118,0,0,11.705,0,93,91,1,78,89,86,86
06001409000,California,Alameda County,5039,9,2.5955,0.9673,0.3646,0.0452,0.1461,0.1365,0.277,0.1159,0.0953,0.2349,11.15,49.056,0.251,544.188,6520480.412,0.5998,0.134,0.927,12.266,0,0,9.905,0,86,91,1,76,95,74,84
06001409100,California,Alameda County,2532,7,2.3851,0.8989,0.3289,0.0055,0.1892,0.0686,0.2646,0.0482,0.096,0.2236,11.257,50.278,0.263,776.113,5889595.129,0.7239,0,0.971,9.804,0,0,8.386,0,82,91,2,78,93,59,77
06001409200,California,Alameda County,3615,8,2.6148,0.9876,0.3594,0.0441,0.0921,0.1077,0.3266,0.0492,0.096,0.2431,11.262,50.597,0.259,879.143,4804307.823,0.6518,0,0.802,9.533,0,0,8.709,0,86,91,2,78,91,62,88
06001409300,California,Alameda County,5743,8,2.8194,0.9775,0.4409,0.0507,0.0736,0.0838,0.2558,0.0966,0.0655,0.2185,11.29,50.695,0.262,545.908,4456587.867,0.6994,0,0.449,9.167,0,0,8.609,0,90,91,2,78,90,61,73
06001409400,California,Alameda County,4710,8,2.6332,0.9539,0.3867,0.0553,0.1253,0.1056,0.3038,0.0546,0.0694,0.2185,11.302,50.317,0.263,470.611,4446973.118,0.589,0.079,0.385,10.407,0,0,9.25,0,87,91,2,78,90,68,73
06001409500,California,Alameda County,4291,9,2.9327,0.8823,0.541,0.0967,0.1366,0.0655,0.4384,0.0573,0.0727,0.2287,11.287,50.137,0.263,458.963,4203174.005,0.5192,0.103,0.329,13.432,0,0,10.021,0,91,91,1,78,89,75,80
